итерация,температура,x1,x2,x3,f,дельта_f
0,50.0,-0.563141107374007,0.022697142258842562,-0.8801785831866036,2.476814110031433,0.2225313413904746
1,50.0,-0.5554235506640933,0.21866073457516155,-0.5761146711123002,2.1577750362708117,-0.31903907376062124
2,50.0,-0.6209717999106998,-0.07232365949047231,-0.7630548424040063,2.3806568100206293,0.22288177374981766
3,50.0,-0.2876202651689881,0.025230744694759333,-0.6756966864950434,2.1445303934450903,-0.236126416575539
4,50.0,-0.3894593708171685,0.09503727444581823,-0.7770025365091717,2.2902481614858448,0.14571776804075443
5,50.0,-0.4330298918507241,0.2489720404492775,-0.7503158137662869,2.274157837274308,-0.01609032421153689
6,50.0,-0.2993745104227118,0.20855591499875903,-0.6720062657483887,2.1402087672907664,-0.1339490699835415
7,50.0,0.12872668312942365,0.3251296875370655,-1.202553993648308,2.7644026602478684,0.624193892957102
8,50.0,-0.16419879311913632,0.3899023322293151,-1.581519857881367,3.305639042359295,0.5412363821114266
9,50.0,0.005055387200416345,0.5394515528430325,-1.2338512423711157,2.8151834382103442,-0.49045560414895073
10,50.0,-0.07551605479903392,0.5939000848621306,-1.0721288544033114,2.5981012068219744,-0.2170822313883698
11,50.0,-0.27490180102800954,1.029759172622289,-0.6347669224384711,2.0924681902056865,-0.5056330166162879
12,50.0,-0.5168229157472375,0.8431238933093608,-0.4286401500797823,2.0126306809627827,-0.07983750924290378
13,50.0,-0.1858680402001282,1.0813759168722734,-0.31161096937623756,1.7699592585564041,-0.24267142240637862
14,50.0,-0.29921557968024304,0.5043998884634138,-0.35427602959930793,1.8424997140924086,0.07254045553600452
15,50.0,-0.40499926484561044,0.085248376197878,-0.34438891345905925,1.8911396697543839,0.04863995566197521
16,50.0,-0.5562325025037597,0.005171953328544865,-0.4353984520217299,2.0485888768138274,0.15744920705944354
17,50.0,-0.49135549026796316,-0.07028448690382158,-0.6399243034345968,2.192078823069992,0.14348994625616474
18,50.0,-0.4359303533238907,0.024396619733846048,-0.31795709693845126,1.892856628499301,-0.2992221945706912
19,50.0,-0.775418743790167,-0.2007729446482374,-0.3224098708156473,2.158249338817858,0.26539271031855693
20,50.0,-1.0685807891760657,-0.3098507252978202,-0.5350404818430697,2.5514637272481995,0.3932143884303416
21,50.0,-1.2521793037595386,-0.6994121491597233,-0.369577243145289,2.7266020304129595,0.17513830316475998
22,50.0,-1.2400996190121085,-0.9210529163905521,-0.2541749860940406,2.7470455264817133,0.02044349606875384
23,50.0,-1.3164935163470162,-0.6067824251556116,-0.5583057007398577,2.8458602325147577,0.09881470603304443
24,50.0,-1.424639909524304,-0.2701188636278028,-0.29476330609586954,2.841003027972837,-0.004857204541920623
25,50.0,-1.877243514009114,0.040829835695592176,-0.43853927881410615,3.393227112905332,0.5522240849324951
26,50.0,-2.2441951158980187,0.0022908230319842876,-0.5188856649070817,3.8193775498255405,0.42615043692020826
27,50.0,-2.537345835024879,-0.1456084019317403,-0.5344025891448237,4.135240131847682,0.31586258202214124
28,50.0,-2.680831533948447,-0.28122271874067917,-0.5245139441367778,4.283269446228631,0.14802931438094902
29,50.0,-2.3498385197919345,-0.211706135199548,0.11947507889971798,3.8921064787157493,-0.3911629675128814
30,50.0,-2.286650896928231,-0.26905750483569785,0.35622506347211225,3.818330978283354,-0.07377550043239545
31,50.0,-2.4122003280702287,-0.29130151805836857,-0.1836063729065347,3.9744707270567767,0.15613974877342285
32,50.0,-2.689112628521401,-0.7441180075454445,-0.06955025629610807,4.279597528515166,0.305126801458389
33,50.0,-2.291040202943266,-0.9963425185106054,0.4395197686812851,3.8732777553466367,-0.4063197731685291
34,50.0,-1.9024628165375408,-1.1138738440013896,0.8816651360878536,3.469606468664208,-0.4036712866824286
35,50.0,-2.1417323004178144,-1.045882538826033,1.282878182852309,3.7181716460677077,0.2485651774034996
36,50.0,-2.70584158369572,-1.1384758528531715,1.4141684543904656,4.321711500587217,0.603539854519509
37,50.0,-2.8550289715942583,-1.2076666168255532,1.4192783445823225,4.475532916332414,0.15382141574519714
38,50.0,-2.1702641243625416,-1.427215535505231,1.376049529009403,3.8357913018474985,-0.6397416144849153
39,50.0,-2.18348939476844,-1.4790187323385955,1.535295021329736,3.8655774982231663,0.029786196375667817
40,50.0,-2.4783188038705304,-2.083905065536588,1.5165554297281791,4.343090333587736,0.4775128353645699
41,50.0,-2.5154236540040906,-2.0610403542902738,1.8271116395015445,4.368564840287172,0.025474506699436184
42,50.0,-2.170323312230174,-2.6126503012058357,1.7528107554715116,4.412483779008048,0.04391893872087582
43,50.0,-1.8105047846564728,-2.6976012821125694,1.7520879051452256,4.293274095577547,-0.1192096834305012
44,50.0,-2.412222795063455,-2.9457740243536117,1.4480405428912941,4.748620260816245,0.45534616523869786
45,50.0,-2.4177586965127764,-2.6224878798622244,1.7097966482213582,4.562876099494684,-0.18574416132156113
46,50.0,-2.3923389532064827,-2.7607922623932852,1.6596352913245374,4.627203515517311,0.06432741602262748
47,50.0,-2.0209215313193076,-2.364265132446726,1.2491371814849466,4.159024621696958,-0.4681788938203528
48,50.0,-2.23502821944077,-2.2004894342232233,1.0517000089524522,4.208309155587192,0.04928453389023346
49,50.0,-1.8775500057344594,-2.262295237966591,1.0929131321837113,4.001065299806929,-0.20724385578026272
50,50.0,-1.9791344281485632,-2.2503976240559647,1.2236629767600755,4.0586669223894765,0.05760162258254731
51,50.0,-1.91863674086259,-2.1164696621777943,1.4539214430835563,3.9334900047291605,-0.1251769176603159
52,50.0,-1.5302117858885211,-2.1558805756629495,1.3983324975293827,3.7150799516691637,-0.21841005305999683
53,50.0,-1.2057588497118927,-2.184488452403933,1.3118527363178945,3.5815203451838946,-0.1335596064852691
54,50.0,-1.1306636651714839,-2.1666533996921506,1.4236015443670322,3.534634149332928,-0.04688619585096676
55,50.0,-1.0173079222505035,-2.1570087564554146,1.3846149517702375,3.4827515749561795,-0.05188257437674837
56,50.0,-1.0453513021080838,-2.155634541937959,1.5594338532156986,3.493677359051497,0.010925784095317415
57,50.0,-0.9818151038226992,-2.01394738068814,1.4702923727340944,3.323380500107588,-0.1702968589439089
58,50.0,-1.0440329199034923,-2.0241410293481805,1.1615649001540702,3.3563179030322123,0.032937402924624326
59,50.0,-0.7228368701644878,-2.289855804865233,1.3097447004315614,3.5464143392382566,0.19009643620604422
60,50.0,-1.2332255050858882,-2.588863481922766,1.3502339174389266,3.982858501076007,0.4364441618377506
61,50.0,-1.337220760765082,-2.606198465085651,1.5723030207076438,4.03268507163779,0.049826570561782635
62,50.0,-1.4336166639100512,-2.7239914827703866,1.7708094888997232,4.174987360081936,0.14230228844414583
63,50.0,-1.401593976879429,-2.7596829161626273,1.9360805953398126,4.202883244358648,0.0278958842767123
64,50.0,-1.4579201884052884,-2.3620723329511955,1.5131172813285425,3.855275222058835,-0.3476080222998128
65,50.0,-1.2680315594150706,-2.155197680390471,1.6034856800075556,3.584471651349707,-0.2708035707091283
66,50.0,-1.346590996736591,-2.1256611268856167,1.5671086781472916,3.5941781085527458,0.009706457203038976
67,50.0,-1.3995306153042453,-2.1533339744855473,1.1061827984983892,3.642136106899716,0.04795799834697023
68,50.0,-1.5064041017934182,-2.0588805766765064,0.9388325707004799,3.6218101384233328,-0.020325968476383238
69,50.0,-1.2654188456423243,-1.91290020516995,1.0503618464902944,3.3584690750884256,-0.26334106333490714
70,50.0,-1.2161489218435704,-2.389422318615868,0.8722191198021441,3.783433853640461,0.4249647785520354
71,50.0,-0.9496554920064799,-1.9409501741862687,1.1686653458570646,3.2331425051701492,-0.5502913484703118
72,50.0,-1.4058774140951198,-1.9381398435004957,1.1734754383987547,3.4629943576657096,0.2298518524955604
73,50.0,-1.4390887536100145,-2.278982079891507,1.462311390553234,3.7730859149814058,0.31009155731569615
74,50.0,-1.2231511530476302,-1.7083583600852896,1.3157860452970909,3.157135483482835,-0.6159504314985709
75,50.0,-0.9571475002864063,-2.0995080427875292,1.4037357013268839,3.402497074419165,0.24536159093633003
76,50.0,-1.001038685161623,-2.1102198659343845,1.3280885560398341,3.428349503215069,0.025852428795904103
77,50.0,-0.32963928627452344,-2.007054698339187,1.524822321290459,3.156326152901989,-0.2720233503130802
78,50.0,-0.20402112272889764,-2.0817179610917447,1.2918356254509487,3.230650355113055,0.07432420221106639
